msg_id,payload_size,response_time_ms
1, 400, 0.6030
2, 400, 0.7816
3, 400, 0.8269
4, 400, 0.8463
5, 400, 0.8043
6, 400, 0.7342
7, 400, 0.8434
8, 400, 0.8038
9, 400, 0.7747
10, 400, 0.7823
11, 1900, 0.7794
12, 1900, 0.6839
13, 1900, 0.7100
14, 1900, 0.7196
15, 1900, 0.7388
16, 1900, 0.8340
17, 1900, 0.7119
18, 1900, 0.7911
19, 1900, 0.7270
20, 1900, 0.7264
21, 3400, 0.7922
22, 3400, 0.8378
23, 3400, 0.7412
24, 3400, 0.7815
25, 3400, 0.9532
26, 3400, 0.8125
27, 3400, 0.7466
28, 3400, 0.7072
29, 3400, 0.6879
30, 3400, 0.7800
31, 4900, 0.7823
32, 4900, 0.7828
33, 4900, 0.7843
34, 4900, 0.6982
35, 4900, 0.8276
36, 4900, 0.7760
37, 4900, 0.7118
38, 4900, 0.7324
39, 4900, 0.9550
40, 4900, 0.7865
41, 6400, 0.7503
42, 6400, 0.7947
43, 6400, 0.7490
44, 6400, 0.8024
45, 6400, 0.8258
46, 6400, 0.7573
47, 6400, 0.7319
48, 6400, 0.7657
49, 6400, 0.9277
50, 6400, 0.8098
51, 7900, 0.7716
52, 7900, 0.8957
53, 7900, 0.7791
54, 7900, 0.8399
55, 7900, 0.8255
56, 7900, 0.7516
57, 7900, 0.9241
58, 7900, 0.7610
59, 7900, 0.8460
60, 7900, 0.7502
61, 9400, 0.9253
62, 9400, 0.7193
63, 9400, 0.8495
64, 9400, 0.7684
65, 9400, 0.9018
66, 9400, 0.7684
67, 9400, 0.7472
68, 9400, 0.7402
69, 9400, 0.8965
70, 9400, 0.8430
71, 10900, 0.8549
72, 10900, 0.9077
73, 10900, 0.8580
74, 10900, 0.8542
75, 10900, 0.7690
76, 10900, 0.7938
77, 10900, 0.7499
78, 10900, 0.8260
79, 10900, 0.7784
80, 10900, 0.8459
81, 12400, 0.8683
82, 12400, 0.7479
83, 12400, 0.7753
84, 12400, 0.7602
85, 12400, 0.7421
86, 12400, 0.8635
87, 12400, 0.8396
88, 12400, 0.8370
89, 12400, 0.8131
90, 12400, 0.8947
91, 13900, 0.8957
92, 13900, 0.7093
93, 13900, 0.8193
94, 13900, 1.0771
95, 13900, 0.8277
96, 13900, 0.8388
97, 13900, 0.7462
98, 13900, 0.7713
99, 13900, 0.9426
100, 13900, 0.9643
101, 15400, 1.1879
102, 15400, 1.1606
103, 15400, 1.2728
104, 15400, 1.1851
105, 15400, 1.0736
106, 15400, 1.3529
107, 15400, 1.3177
108, 15400, 1.1180
109, 15400, 1.1212
110, 15400, 1.1493
111, 16900, 1.4405
112, 16900, 1.2417
113, 16900, 1.3054
114, 16900, 1.1765
115, 16900, 1.3382
116, 16900, 1.3681
117, 16900, 1.1785
118, 16900, 1.1090
119, 16900, 1.1799
120, 16900, 1.3098
121, 18400, 1.3259
122, 18400, 1.2298
123, 18400, 1.2002
124, 18400, 1.2681
125, 18400, 12.7649
126, 18400, 1.2126
127, 18400, 1.1362
128, 18400, 1.1172
129, 18400, 1.2709
130, 18400, 1.2702
131, 19900, 1.3096
132, 19900, 1.2660
133, 19900, 1.2042
134, 19900, 1.1241
135, 19900, 1.1272
136, 19900, 1.0686
137, 19900, 1.1335
138, 19900, 1.0731
139, 19900, 0.9522
140, 19900, 1.0678
141, 21400, 1.0427
142, 21400, 1.0550
143, 21400, 1.2283
144, 21400, 1.2677
145, 21400, 1.1957
146, 21400, 1.1474
147, 21400, 1.2218
148, 21400, 1.1328
149, 21400, 1.1475
150, 21400, 1.0546
151, 22900, 1.1281
152, 22900, 1.3648
153, 22900, 1.1052
154, 22900, 1.2102
155, 22900, 1.2124
156, 22900, 1.1166
157, 22900, 1.0114
158, 22900, 1.1930
159, 22900, 1.0718
160, 22900, 1.1492
161, 24400, 1.2327
162, 24400, 1.4165
163, 24400, 1.1836
164, 24400, 1.1039
165, 24400, 1.1286
166, 24400, 1.1387
167, 24400, 0.9950
168, 24400, 1.1120
169, 24400, 1.1497
170, 24400, 1.1375
171, 25900, 1.1441
172, 25900, 1.1149
173, 25900, 1.3080
174, 25900, 1.3119
175, 25900, 1.1310
176, 25900, 1.1464
177, 25900, 1.2045
178, 25900, 1.2418
179, 25900, 1.0897
180, 25900, 1.1188
181, 27400, 1.1147
182, 27400, 1.2716
183, 27400, 1.1427
184, 27400, 1.1256
185, 27400, 1.1922
186, 27400, 1.2668
187, 27400, 1.1561
188, 27400, 1.0909
189, 27400, 1.1712
190, 27400, 1.1128
191, 28900, 1.1536
192, 28900, 1.0773
193, 28900, 1.1599
194, 28900, 1.0834
195, 28900, 1.2033
196, 28900, 1.1164
197, 28900, 1.0624
198, 28900, 1.2712
199, 28900, 1.1768
200, 28900, 1.3022
201, 30400, 1.2723
202, 30400, 1.1257
203, 30400, 1.1541
204, 30400, 1.3058
205, 30400, 1.1886
206, 30400, 1.1387
207, 30400, 1.2320
208, 30400, 1.3479
209, 30400, 1.1758
210, 30400, 1.1694
211, 31900, 1.1310
212, 31900, 1.2828
213, 31900, 1.1012
214, 31900, 1.2417
215, 31900, 1.0552
216, 31900, 1.2818
217, 31900, 1.1656
218, 31900, 1.1004
219, 31900, 1.1321
220, 31900, 1.1285
221, 33400, 1.3366
222, 33400, 1.1236
223, 33400, 1.2560
224, 33400, 1.3253
225, 33400, 1.1944
226, 33400, 1.0769
227, 33400, 1.1089
228, 33400, 1.2103
229, 33400, 1.1709
230, 33400, 1.0944
231, 34900, 1.1083
232, 34900, 1.4119
233, 34900, 1.0846
234, 34900, 1.1925
235, 34900, 1.3302
236, 34900, 1.2682
237, 34900, 1.3553
238, 34900, 1.2249
239, 34900, 1.1122
240, 34900, 1.1683
241, 36400, 1.3067
242, 36400, 1.2065
243, 36400, 1.3782
244, 36400, 1.2936
245, 36400, 1.1788
246, 36400, 1.2071
247, 36400, 1.2293
248, 36400, 1.4256
249, 36400, 1.5091
250, 36400, 1.2575
251, 37900, 1.2451
252, 37900, 1.3056
253, 37900, 1.4224
254, 37900, 1.3367
255, 37900, 1.3052
256, 37900, 1.4426
257, 37900, 1.3937
258, 37900, 1.3591
259, 37900, 1.3709
260, 37900, 1.3589
261, 39400, 1.6975
262, 39400, 1.4760
263, 39400, 1.2950
264, 39400, 1.2427
265, 39400, 1.1194
266, 39400, 1.1292
267, 39400, 1.1809
268, 39400, 1.2685
269, 39400, 1.2578
270, 39400, 1.1436
271, 40900, 1.1951
272, 40900, 1.0885
273, 40900, 1.1849
274, 40900, 1.2740
275, 40900, 1.2362
276, 40900, 1.2875
277, 40900, 1.2279
278, 40900, 1.1391
279, 40900, 1.1263
280, 40900, 1.0931
281, 42400, 1.3965
282, 42400, 1.5215
283, 42400, 1.4970
284, 42400, 1.5200
285, 42400, 1.3602
286, 42400, 1.5695
287, 42400, 1.4148
288, 42400, 1.7177
289, 42400, 1.7412
290, 42400, 1.3820
291, 43900, 1.4976
292, 43900, 1.4840
293, 43900, 1.6545
294, 43900, 1.4270
295, 43900, 1.3887
296, 43900, 1.6774
297, 43900, 1.6428
298, 43900, 1.8516
299, 43900, 1.9399
300, 43900, 1.5150
301, 45400, 1.6893
302, 45400, 1.4268
303, 45400, 1.4587
304, 45400, 1.6007
305, 45400, 1.4720
306, 45400, 1.8347
307, 45400, 1.4456
308, 45400, 1.4600
309, 45400, 1.5106
310, 45400, 1.5605
311, 46900, 1.5343
312, 46900, 1.6680
313, 46900, 1.3570
314, 46900, 1.5555
315, 46900, 1.4820
316, 46900, 1.4510
317, 46900, 1.5564
318, 46900, 1.2797
319, 46900, 1.6068
320, 46900, 1.4285
321, 48400, 1.5501
322, 48400, 1.4761
323, 48400, 1.5814
324, 48400, 2.1725
325, 48400, 1.3939
326, 48400, 1.6662
327, 48400, 1.4710
328, 48400, 1.6418
329, 48400, 1.4407
330, 48400, 1.4976
331, 49900, 1.5662
332, 49900, 1.7534
333, 49900, 1.3475
334, 49900, 1.4366
335, 49900, 1.7011
336, 49900, 1.3164
337, 49900, 1.5632
338, 49900, 1.5392
339, 49900, 1.4746
340, 49900, 1.6931
341, 51400, 1.6607
342, 51400, 1.7727
343, 51400, 1.4002
344, 51400, 1.7679
345, 51400, 1.8490
346, 51400, 1.8200
347, 51400, 1.8356
348, 51400, 1.7964
349, 51400, 1.6646
350, 51400, 1.9144
351, 52900, 1.7634
352, 52900, 1.7113
353, 52900, 1.5779
354, 52900, 1.5956
355, 52900, 1.8022
356, 52900, 1.7208
357, 52900, 1.5303
358, 52900, 1.5647
359, 52900, 1.4514
360, 52900, 1.4748
361, 54400, 1.6696
362, 54400, 1.4730
363, 54400, 1.8431
364, 54400, 1.7603
365, 54400, 1.5784
366, 54400, 1.7156
367, 54400, 1.5581
368, 54400, 1.7983
369, 54400, 1.5769
370, 54400, 1.7051
371, 55900, 1.6465
372, 55900, 1.7135
373, 55900, 1.5561
374, 55900, 1.4807
375, 55900, 1.9367
376, 55900, 1.5841
377, 55900, 1.6289
378, 55900, 1.7275
379, 55900, 1.8029
380, 55900, 1.7313
381, 57400, 2.0087
382, 57400, 1.7652
383, 57400, 1.7003
384, 57400, 1.9397
385, 57400, 1.5467
386, 57400, 1.6141
387, 57400, 1.5841
388, 57400, 1.5975
389, 57400, 1.5264
390, 57400, 1.8837
391, 58900, 1.8122
392, 58900, 1.7823
393, 58900, 1.6886
394, 58900, 1.9241
395, 58900, 1.8751
396, 58900, 1.8462
397, 58900, 1.6719
398, 58900, 1.6113
399, 58900, 1.9443
400, 58900, 1.7221
401, 60400, 1.9552
402, 60400, 1.9294
403, 60400, 2.0954
