msg_id,payload_size,response_time_ms
1, 400, 1.2592
2, 400, 0.9473
3, 400, 0.9776
4, 400, 1.0347
5, 400, 0.9084
6, 400, 0.9506
7, 400, 1.2721
8, 1900, 1.1496
9, 1900, 1.0052
10, 1900, 1.2370
11, 1900, 1.0802
12, 1900, 0.9289
13, 1900, 1.1003
14, 1900, 1.0204
15, 3400, 1.0709
16, 3400, 1.0388
17, 3400, 1.0615
18, 3400, 1.0335
19, 3400, 1.0706
20, 3400, 1.1038
21, 3400, 1.1590
22, 4900, 1.1280
23, 4900, 1.2293
24, 4900, 1.1044
25, 4900, 1.0736
26, 4900, 1.0992
27, 4900, 1.1326
28, 4900, 0.9910
29, 6400, 1.1085
30, 6400, 1.1560
31, 6400, 1.0189
32, 6400, 1.3181
33, 6400, 1.1793
34, 6400, 1.1920
35, 6400, 0.9739
36, 7900, 1.0959
37, 7900, 1.0135
38, 7900, 1.0629
39, 7900, 1.0697
40, 7900, 1.2077
41, 7900, 0.9696
42, 7900, 1.0769
43, 9400, 1.1399
44, 9400, 1.0191
45, 9400, 1.1835
46, 9400, 1.1135
47, 9400, 1.0871
48, 9400, 1.0246
49, 9400, 0.9972
50, 10900, 0.8624
51, 10900, 1.1208
52, 10900, 0.9894
53, 10900, 1.0694
54, 10900, 1.0283
55, 10900, 1.1905
56, 10900, 1.1448
57, 12400, 0.9716
58, 12400, 1.3246
59, 12400, 1.0006
60, 12400, 1.0010
61, 12400, 1.2401
62, 12400, 1.0858
63, 12400, 0.9876
64, 13900, 1.3606
65, 13900, 1.0869
66, 13900, 1.1835
67, 13900, 1.1489
68, 13900, 0.9109
69, 13900, 1.4125
70, 13900, 1.1712
71, 15400, 1.0688
72, 15400, 1.0444
73, 15400, 1.3446
74, 15400, 1.1901
75, 15400, 1.1298
76, 15400, 1.5047
77, 15400, 1.1503
78, 16900, 1.2461
79, 16900, 1.2950
80, 16900, 1.1824
81, 16900, 1.0289
82, 16900, 1.3106
83, 16900, 1.4507
84, 16900, 1.1388
85, 18400, 1.3105
86, 18400, 1.1241
87, 18400, 1.2274
88, 18400, 1.3211
89, 18400, 1.1594
90, 18400, 1.1421
91, 18400, 1.0108
92, 19900, 1.1216
93, 19900, 1.3085
94, 19900, 1.3141
95, 19900, 1.3285
96, 19900, 1.1918
97, 19900, 1.4867
98, 19900, 1.2814
99, 21400, 1.2503
100, 21400, 1.3173
101, 21400, 1.1447
102, 21400, 1.2289
103, 21400, 1.2904
104, 21400, 1.1467
105, 21400, 1.3103
106, 22900, 1.4186
107, 22900, 1.3934
108, 22900, 1.2241
109, 22900, 1.4813
110, 22900, 1.3263
111, 22900, 1.5044
112, 22900, 1.5704
113, 24400, 1.5614
114, 24400, 1.2740
115, 24400, 1.5468
116, 24400, 1.1998
117, 24400, 1.4117
118, 24400, 1.3192
119, 24400, 1.2857
120, 25900, 1.3577
121, 25900, 1.4864
122, 25900, 1.6103
123, 25900, 1.4187
124, 25900, 1.7585
125, 25900, 1.2970
126, 25900, 1.4136
127, 27400, 1.6928
128, 27400, 1.3239
129, 27400, 1.3091
130, 27400, 1.5745
131, 27400, 1.4576
132, 27400, 1.3731
133, 27400, 1.7341
134, 28900, 1.4700
135, 28900, 1.4987
136, 28900, 1.7908
137, 28900, 1.3971
138, 28900, 1.2119
139, 28900, 1.7133
140, 28900, 1.4796
141, 30400, 1.6468
142, 30400, 1.4475
143, 30400, 1.3960
144, 30400, 1.2119
145, 30400, 1.5552
146, 30400, 1.2769
147, 30400, 1.3822
148, 31900, 1.4718
149, 31900, 1.5550
150, 31900, 1.5131
151, 31900, 1.6292
152, 31900, 1.5285
153, 31900, 1.3210
154, 31900, 1.5530
155, 33400, 1.5408
156, 33400, 1.5972
157, 33400, 1.5370
158, 33400, 1.2436
159, 33400, 1.3522
160, 33400, 1.8476
161, 33400, 1.1399
162, 34900, 1.4782
163, 34900, 1.5961
164, 34900, 1.6609
165, 34900, 1.4856
166, 34900, 1.7605
167, 34900, 1.5306
168, 34900, 1.4675
169, 36400, 1.5235
170, 36400, 1.3026
171, 36400, 1.3443
172, 36400, 1.6137
173, 36400, 1.7049
