msg_id,payload_size,response_time_ms
1, 400, 1.0264
2, 400, 1.4238
3, 400, 1.6445
4, 400, 1.3159
5, 400, 1.3741
6, 400, 1.6012
7, 400, 1.4970
8, 1900, 1.4138
9, 1900, 1.5098
10, 1900, 1.5761
11, 1900, 1.6613
12, 1900, 1.4338
13, 1900, 1.9801
14, 1900, 1.6151
15, 3400, 1.1909
16, 3400, 1.4980
17, 3400, 1.5579
18, 3400, 1.3508
19, 3400, 1.4575
20, 3400, 1.4675
21, 3400, 1.4999
22, 4900, 1.5460
23, 4900, 1.5817
24, 4900, 1.6180
25, 4900, 1.5706
26, 4900, 1.6512
27, 4900, 1.3809
28, 4900, 1.1579
29, 6400, 1.4624
30, 6400, 1.5078
31, 6400, 1.3659
32, 6400, 1.4411
33, 6400, 1.5108
34, 6400, 1.2013
35, 6400, 1.4814
36, 7900, 1.4348
37, 7900, 1.6526
38, 7900, 1.4439
39, 7900, 1.6107
40, 7900, 1.3823
41, 7900, 1.2115
42, 7900, 1.4409
43, 9400, 1.5055
44, 9400, 1.5037
45, 9400, 1.4250
46, 9400, 1.5596
47, 9400, 1.3431
48, 9400, 1.3772
49, 9400, 1.4126
50, 10900, 1.8942
51, 10900, 1.2779
52, 10900, 1.5958
53, 10900, 1.7257
54, 10900, 1.5876
55, 10900, 1.5006
56, 10900, 1.4515
57, 12400, 1.4352
58, 12400, 1.4082
59, 12400, 1.3720
60, 12400, 1.5523
61, 12400, 1.2266
62, 12400, 1.5299
63, 12400, 1.6210
64, 13900, 2.3453
65, 13900, 1.4953
66, 13900, 1.7248
67, 13900, 1.4766
68, 13900, 1.4178
69, 13900, 1.6336
70, 13900, 1.5318
71, 15400, 1.7489
72, 15400, 1.5612
73, 15400, 1.7002
74, 15400, 1.6145
75, 15400, 1.6499
76, 15400, 1.3925
77, 15400, 1.6507
78, 16900, 1.6372
79, 16900, 1.4417
80, 16900, 1.5969
81, 16900, 1.4737
82, 16900, 1.7052
83, 16900, 1.5279
84, 16900, 1.3819
85, 18400, 2.0050
86, 18400, 1.8565
87, 18400, 1.5045
88, 18400, 1.4933
89, 18400, 1.5775
90, 18400, 1.4063
91, 18400, 1.8306
92, 19900, 1.6034
93, 19900, 1.9439
94, 19900, 1.5554
95, 19900, 1.7640
96, 19900, 1.5868
97, 19900, 1.7204
98, 19900, 1.9181
99, 21400, 1.8258
100, 21400, 1.6291
101, 21400, 2.0862
102, 21400, 1.7939
103, 21400, 1.7984
104, 21400, 1.8876
105, 21400, 1.8536
106, 22900, 1.6612
107, 22900, 2.3602
108, 22900, 1.6400
109, 22900, 1.7288
110, 22900, 1.9846
111, 22900, 1.7138
112, 22900, 1.6208
113, 24400, 1.9618
114, 24400, 1.7549
115, 24400, 1.9901
116, 24400, 1.6073
117, 24400, 1.8959
118, 24400, 1.7989
119, 24400, 1.8498
120, 25900, 1.7055
121, 25900, 2.1146
122, 25900, 1.7182
123, 25900, 1.6310
124, 25900, 1.8366
125, 25900, 1.6767
126, 25900, 1.6779
127, 27400, 1.8509
128, 27400, 1.8193
129, 27400, 1.7700
130, 27400, 2.0525
131, 27400, 1.8128
132, 27400, 1.7750
133, 27400, 1.8070
134, 28900, 1.9402
135, 28900, 1.9968
136, 28900, 1.8328
137, 28900, 2.1969
138, 28900, 2.1572
139, 28900, 1.6094
140, 28900, 1.9256
141, 30400, 2.0517
142, 30400, 1.8255
143, 30400, 2.1392
144, 30400, 2.2073
145, 30400, 1.9546
146, 30400, 1.6100
147, 30400, 1.9665
148, 31900, 1.6433
149, 31900, 1.9747
150, 31900, 1.7821
151, 31900, 1.8529
152, 31900, 1.8201
153, 31900, 1.9174
154, 31900, 1.8032
155, 33400, 2.1557
156, 33400, 1.7015
157, 33400, 1.6723
158, 33400, 2.2689
159, 33400, 1.8771
160, 33400, 1.5732
161, 33400, 2.5973
162, 34900, 1.8211
163, 34900, 1.9775
164, 34900, 2.1705
165, 34900, 1.7273
166, 34900, 1.7855
167, 34900, 2.0435
168, 34900, 1.8942
169, 36400, 2.1154
170, 36400, 1.9932
171, 36400, 1.9918
172, 36400, 2.1677
173, 36400, 1.9672
174, 36400, 1.7443
175, 36400, 1.8606
176, 37900, 2.1227
177, 37900, 2.0771
178, 37900, 2.0151
179, 37900, 1.8078
180, 37900, 2.1237
181, 37900, 2.0882
182, 37900, 1.7057
183, 39400, 2.0114
184, 39400, 2.0643
185, 39400, 2.0403
186, 39400, 1.8625
187, 39400, 2.3143
188, 39400, 1.8287
189, 39400, 1.8549
190, 40900, 2.1278
191, 40900, 1.8485
192, 40900, 1.8839
193, 40900, 1.9022
194, 40900, 1.7821
195, 40900, 1.9690
196, 40900, 2.0515
197, 42400, 1.8599
198, 42400, 2.5138
199, 42400, 2.0250
200, 42400, 2.3368
201, 42400, 1.9862
202, 42400, 2.0749
203, 42400, 1.8121
204, 43900, 1.8664
205, 43900, 2.2282
206, 43900, 1.9787
207, 43900, 2.0475
208, 43900, 2.0583
209, 43900, 1.7775
210, 43900, 2.3249
211, 45400, 1.8266
212, 45400, 2.1020
213, 45400, 2.2335
214, 45400, 1.8783
215, 45400, 1.9693
216, 45400, 2.1745
217, 45400, 2.1023
218, 46900, 1.8162
219, 46900, 2.0597
220, 46900, 1.8423
221, 46900, 1.9225
222, 46900, 2.0382
223, 46900, 1.7157
224, 46900, 1.6885
225, 48400, 2.1081
226, 48400, 1.8290
227, 48400, 1.9884
228, 48400, 1.7775
229, 48400, 1.8369
230, 48400, 2.3181
231, 48400, 1.9707
232, 49900, 2.1971
233, 49900, 2.0245
234, 49900, 1.9634
235, 49900, 1.7865
236, 49900, 2.0750
237, 49900, 1.9696
238, 49900, 2.1170
239, 51400, 2.3614
240, 51400, 1.5958
241, 51400, 1.7744
242, 51400, 1.8369
243, 51400, 2.0914
244, 51400, 1.8290
245, 51400, 2.2142
246, 52900, 2.0296
247, 52900, 2.0197
248, 52900, 2.5184
249, 52900, 1.9120
250, 52900, 1.9919
251, 52900, 2.1477
252, 52900, 1.7098
253, 54400, 2.2492
254, 54400, 2.1423
255, 54400, 1.9145
256, 54400, 1.9883
257, 54400, 1.9437
258, 54400, 1.9505
259, 54400, 1.9687
260, 55900, 1.7445
261, 55900, 1.9428
262, 55900, 2.3228
263, 55900, 1.5075
264, 55900, 2.0824
265, 55900, 2.2193
266, 55900, 2.0314
267, 57400, 1.9171
268, 57400, 2.2548
269, 57400, 2.4539
270, 57400, 1.7702
271, 57400, 2.0481
272, 57400, 1.8484
273, 57400, 1.8314
274, 58900, 2.1262
275, 58900, 1.8462
276, 58900, 1.9178
277, 58900, 1.8630
278, 58900, 1.8865
279, 58900, 2.1942
280, 58900, 2.0744
281, 60400, 2.0863
282, 60400, 2.2938
283, 60400, 1.8814
284, 60400, 1.6985
285, 60400, 1.9095
286, 60400, 1.8697
287, 60400, 2.0416
288, 61900, 2.2290
289, 61900, 1.7600
290, 61900, 2.1602
291, 61900, 2.0174
292, 61900, 2.0384
293, 61900, 1.7540
294, 61900, 2.5383
295, 63400, 1.8676
296, 63400, 2.0132
297, 63400, 1.7421
298, 63400, 2.2122
299, 63400, 2.0729
300, 63400, 2.0473
301, 63400, 1.8838
302, 64900, 2.2867
303, 64900, 1.7198
304, 64900, 2.0216
305, 64900, 2.2210
306, 64900, 2.1422
307, 64900, 2.1714
308, 64900, 2.6919
309, 66400, 1.9910
310, 66400, 1.9787
311, 66400, 2.0044
312, 66400, 1.9049
313, 66400, 1.8757
314, 66400, 2.0444
315, 66400, 2.1223
316, 67900, 2.0687
317, 67900, 2.1813
318, 67900, 2.0147
319, 67900, 1.8057
320, 67900, 2.2835
321, 67900, 2.0297
322, 67900, 1.9675
323, 69400, 1.8991
