msg_id,payload_size,response_time_ms
1, 400, 0.6149
2, 400, 0.8083
3, 400, 0.8907
4, 400, 1.0237
5, 400, 1.3167
6, 400, 1.0838
7, 400, 0.9416
8, 1900, 0.8596
9, 1900, 0.8693
10, 1900, 0.9429
11, 1900, 0.9817
12, 1900, 0.9447
13, 1900, 0.9254
14, 1900, 0.9159
15, 3400, 1.0149
16, 3400, 0.9315
17, 3400, 0.9611
18, 3400, 1.0308
19, 3400, 1.0674
20, 3400, 0.9480
21, 3400, 1.0696
22, 4900, 0.9415
23, 4900, 1.0680
24, 4900, 1.1166
25, 4900, 1.0897
26, 4900, 1.2313
27, 4900, 1.0537
28, 4900, 1.0820
29, 6400, 1.0549
30, 6400, 1.1356
31, 6400, 1.0352
32, 6400, 1.0868
33, 6400, 1.0133
34, 6400, 1.0963
35, 6400, 1.1375
36, 7900, 1.0810
37, 7900, 1.1869
38, 7900, 1.1309
39, 7900, 1.0567
40, 7900, 1.0299
41, 7900, 0.9313
42, 7900, 1.1868
43, 9400, 1.0481
44, 9400, 1.3240
45, 9400, 1.0996
46, 9400, 1.1401
47, 9400, 1.0637
48, 9400, 1.1795
49, 9400, 1.2018
50, 10900, 1.0441
51, 10900, 1.0050
52, 10900, 1.0667
53, 10900, 0.9601
54, 10900, 1.0713
55, 10900, 0.9746
56, 10900, 1.1315
57, 12400, 1.1203
58, 12400, 1.0933
59, 12400, 1.0365
60, 12400, 1.0400
61, 12400, 1.0743
62, 12400, 1.0782
63, 12400, 0.9497
64, 13900, 0.9486
65, 13900, 1.0601
66, 13900, 1.0512
67, 13900, 0.8929
68, 13900, 0.9560
69, 13900, 1.0413
70, 13900, 1.0222
71, 15400, 1.1541
72, 15400, 1.3616
73, 15400, 1.2521
74, 15400, 1.1225
75, 15400, 1.1151
76, 15400, 1.3112
77, 15400, 1.2389
78, 16900, 1.2607
79, 16900, 1.2740
80, 16900, 1.1857
81, 16900, 1.4952
82, 16900, 1.4051
83, 16900, 1.5165
84, 16900, 1.3148
85, 18400, 1.4819
86, 18400, 1.4580
87, 18400, 1.4513
88, 18400, 1.6925
89, 18400, 1.7080
90, 18400, 1.7334
91, 18400, 1.5937
92, 19900, 1.5860
93, 19900, 1.4321
94, 19900, 1.2692
95, 19900, 1.4478
96, 19900, 1.2686
97, 19900, 1.1255
98, 19900, 1.1560
99, 21400, 1.3916
100, 21400, 1.3172
101, 21400, 1.4048
102, 21400, 1.1875
103, 21400, 1.1830
104, 21400, 1.3155
105, 21400, 1.3466
106, 22900, 1.2960
107, 22900, 1.1561
108, 22900, 1.2102
109, 22900, 1.2537
110, 22900, 1.2131
111, 22900, 1.3613
112, 22900, 1.1597
113, 24400, 1.1492
114, 24400, 1.4358
115, 24400, 1.4662
116, 24400, 1.3722
117, 24400, 1.4305
118, 24400, 1.2399
119, 24400, 1.2333
120, 25900, 1.3506
121, 25900, 1.3769
122, 25900, 1.5531
123, 25900, 1.6149
124, 25900, 1.4920
125, 25900, 1.6587
126, 25900, 1.8210
127, 27400, 1.7344
128, 27400, 1.6814
129, 27400, 1.3917
130, 27400, 1.6258
131, 27400, 1.4498
132, 27400, 1.4232
133, 27400, 1.3805
134, 28900, 1.4757
135, 28900, 1.4180
136, 28900, 1.4227
137, 28900, 1.7103
138, 28900, 1.5303
139, 28900, 1.8704
140, 28900, 1.6690
141, 30400, 1.4813
142, 30400, 1.2402
143, 30400, 1.2508
144, 30400, 1.2862
145, 30400, 1.2315
146, 30400, 1.6495
147, 30400, 1.5785
148, 31900, 1.5714
149, 31900, 1.7078
150, 31900, 1.3781
151, 31900, 1.9399
152, 31900, 1.7182
153, 31900, 1.5462
154, 31900, 1.5617
155, 33400, 1.3778
156, 33400, 1.2926
157, 33400, 1.5268
158, 33400, 1.4629
159, 33400, 1.5837
160, 33400, 1.3991
161, 33400, 1.2959
162, 34900, 1.6088
163, 34900, 1.5738
164, 34900, 1.5259
165, 34900, 1.3906
166, 34900, 1.9233
167, 34900, 1.7972
168, 34900, 2.0071
169, 36400, 1.9139
170, 36400, 1.8617
171, 36400, 1.6619
