msg_id,payload_size,response_time_ms
1, 400, 0.8838
2, 400, 0.7942
3, 400, 0.6947
4, 400, 0.7634
5, 400, 0.8241
6, 400, 0.6776
7, 400, 0.8087
8, 1900, 0.7324
9, 1900, 0.7872
10, 1900, 0.8660
11, 1900, 0.8685
12, 1900, 0.7066
13, 1900, 0.8907
14, 1900, 0.7586
15, 3400, 0.7040
16, 3400, 0.6496
17, 3400, 0.9507
18, 3400, 0.7182
19, 3400, 0.8337
20, 3400, 0.7503
21, 3400, 0.7172
22, 4900, 0.9194
23, 4900, 0.7110
24, 4900, 0.7191
25, 4900, 0.7847
26, 4900, 0.6972
27, 4900, 0.7490
28, 4900, 0.7542
29, 6400, 0.8356
30, 6400, 0.8148
31, 6400, 0.9463
32, 6400, 0.8592
33, 6400, 0.8682
34, 6400, 0.9938
35, 6400, 0.9437
36, 7900, 0.8764
37, 7900, 1.0480
38, 7900, 1.0266
39, 7900, 0.8719
40, 7900, 0.8497
41, 7900, 0.8863
42, 7900, 0.9545
43, 9400, 0.9369
44, 9400, 0.8351
45, 9400, 0.8772
46, 9400, 0.9529
47, 9400, 0.9455
48, 9400, 0.9125
49, 9400, 0.9330
50, 10900, 0.8916
51, 10900, 0.9180
52, 10900, 0.9851
53, 10900, 0.9772
54, 10900, 1.0179
55, 10900, 0.9401
56, 10900, 0.9879
57, 12400, 1.0553
58, 12400, 0.9074
59, 12400, 0.9648
60, 12400, 0.8410
61, 12400, 0.8335
62, 12400, 0.9270
63, 12400, 0.9089
64, 13900, 0.9249
65, 13900, 0.7841
66, 13900, 0.7662
67, 13900, 0.8973
68, 13900, 0.9089
69, 13900, 1.0886
70, 13900, 0.9827
71, 15400, 1.1850
72, 15400, 1.1563
73, 15400, 1.1002
74, 15400, 1.1070
75, 15400, 0.9569
76, 15400, 1.0920
77, 15400, 1.1186
78, 16900, 1.2586
79, 16900, 1.3292
80, 16900, 1.4794
81, 16900, 1.3822
82, 16900, 1.3685
83, 16900, 1.2867
84, 16900, 1.2401
85, 18400, 1.1918
86, 18400, 1.3732
87, 18400, 1.2894
88, 18400, 1.1726
89, 18400, 1.1829
90, 18400, 1.3170
91, 18400, 1.1326
92, 19900, 1.2947
93, 19900, 1.0927
94, 19900, 1.2922
95, 19900, 1.2682
96, 19900, 1.3655
97, 19900, 1.2700
98, 19900, 1.2169
99, 21400, 1.2909
100, 21400, 1.3082
101, 21400, 1.4162
102, 21400, 1.2693
103, 21400, 1.4180
104, 21400, 1.1478
105, 21400, 1.3626
106, 22900, 1.1905
107, 22900, 1.3403
108, 22900, 1.3897
109, 22900, 1.4889
110, 22900, 1.5411
111, 22900, 1.3519
112, 22900, 1.4292
113, 24400, 1.2099
114, 24400, 1.2894
115, 24400, 1.1285
116, 24400, 1.1910
117, 24400, 1.2699
118, 24400, 1.2449
119, 24400, 1.3074
120, 25900, 1.2887
121, 25900, 1.3499
122, 25900, 1.3165
123, 25900, 1.2264
124, 25900, 1.2728
125, 25900, 1.4401
126, 25900, 1.3067
127, 27400, 1.4212
128, 27400, 1.3805
129, 27400, 1.4433
130, 27400, 1.2545
131, 27400, 1.2499
132, 27400, 1.7194
133, 27400, 1.3893
134, 28900, 1.5380
135, 28900, 1.4520
136, 28900, 1.3350
137, 28900, 1.4957
138, 28900, 1.4487
139, 28900, 1.4477
140, 28900, 1.6440
141, 30400, 1.5087
142, 30400, 1.5249
143, 30400, 1.3814
144, 30400, 1.6768
145, 30400, 1.4138
146, 30400, 1.5328
147, 30400, 1.4596
148, 31900, 1.7146
149, 31900, 1.4327
150, 31900, 1.2982
151, 31900, 1.4037
152, 31900, 1.3115
153, 31900, 1.6620
154, 31900, 1.6044
155, 33400, 1.5855
156, 33400, 1.6731
157, 33400, 1.8260
158, 33400, 1.4035
159, 33400, 1.5984
160, 33400, 1.8653
161, 33400, 1.5508
162, 34900, 1.9439
163, 34900, 1.3945
164, 34900, 1.6250
165, 34900, 1.5278
166, 34900, 1.4541
167, 34900, 1.5413
168, 34900, 1.5964
169, 36400, 1.6297
170, 36400, 1.4488
171, 36400, 1.4515
172, 36400, 1.3727
173, 36400, 1.4771
174, 36400, 1.5201
175, 36400, 1.4811
176, 37900, 1.4589
177, 37900, 1.5014
178, 37900, 1.4137
179, 37900, 1.4053
180, 37900, 1.5477
181, 37900, 1.5185
182, 37900, 1.4170
183, 39400, 1.5955
184, 39400, 1.6498
185, 39400, 1.4298
186, 39400, 1.4383
187, 39400, 1.6418
188, 39400, 1.4448
189, 39400, 1.5235
190, 40900, 1.6573
191, 40900, 1.6945
192, 40900, 1.4720
193, 40900, 1.5415
194, 40900, 1.5949
195, 40900, 1.7244
196, 40900, 1.6064
197, 42400, 1.8065
198, 42400, 1.5603
199, 42400, 1.6878
200, 42400, 1.6016
201, 42400, 1.7653
202, 42400, 1.5322
203, 42400, 1.6970
204, 43900, 1.5078
205, 43900, 1.5807
206, 43900, 1.5562
207, 43900, 1.5264
208, 43900, 1.5983
209, 43900, 1.7272
210, 43900, 1.6777
211, 45400, 1.6990
212, 45400, 1.4072
213, 45400, 1.5523
214, 45400, 1.5975
215, 45400, 1.5201
216, 45400, 1.4092
217, 45400, 1.5784
218, 46900, 1.5180
219, 46900, 1.4801
220, 46900, 1.6394
221, 46900, 1.4386
222, 46900, 1.6355
223, 46900, 1.3723
224, 46900, 1.5255
225, 48400, 1.4475
226, 48400, 1.7161
227, 48400, 1.4629
228, 48400, 1.6071
229, 48400, 1.7055
230, 48400, 1.4100
231, 48400, 1.3850
232, 49900, 1.4906
233, 49900, 1.5978
234, 49900, 1.8623
235, 49900, 1.5002
236, 49900, 1.5868
237, 49900, 1.8604
238, 49900, 1.5975
239, 51400, 1.4700
240, 51400, 1.4517
241, 51400, 1.6819
242, 51400, 1.5368
243, 51400, 1.7358
244, 51400, 1.6490
245, 51400, 1.5891
246, 52900, 1.5559
247, 52900, 1.5943
248, 52900, 1.6961
249, 52900, 1.5835
250, 52900, 1.5000
251, 52900, 1.6208
252, 52900, 1.5816
253, 54400, 1.4040
254, 54400, 1.5064
255, 54400, 1.4202
256, 54400, 1.3592
257, 54400, 1.6460
258, 54400, 1.5237
259, 54400, 1.5574
260, 55900, 1.6594
261, 55900, 1.5085
262, 55900, 1.7454
263, 55900, 1.3229
264, 55900, 1.2215
265, 55900, 1.5219
266, 55900, 1.3228
267, 57400, 1.3250
268, 57400, 1.3935
269, 57400, 1.5029
270, 57400, 1.3711
271, 57400, 1.3247
272, 57400, 1.3295
273, 57400, 1.2998
274, 58900, 1.4619
275, 58900, 1.4439
276, 58900, 1.4087
277, 58900, 1.3906
278, 58900, 1.5019
279, 58900, 1.3809
280, 58900, 1.4548
281, 60400, 1.6754
282, 60400, 1.6817
283, 60400, 1.5132
284, 60400, 1.5184
285, 60400, 1.4683
286, 60400, 1.5006
287, 60400, 1.2918
288, 61900, 1.3817
289, 61900, 1.3218
290, 61900, 1.5501
291, 61900, 1.6907
292, 61900, 1.7202
293, 61900, 1.6983
294, 61900, 1.5849
295, 63400, 1.5977
296, 63400, 1.5080
297, 63400, 1.3628
298, 63400, 1.5317
299, 63400, 1.4649
300, 63400, 1.6711
301, 63400, 1.6152
302, 64900, 1.7634
303, 64900, 1.4609
304, 64900, 1.6117
305, 64900, 1.6777
306, 64900, 1.5299
307, 64900, 1.8081
308, 64900, 1.4217
309, 66400, 2.0185
310, 66400, 1.7705
311, 66400, 1.5644
312, 66400, 1.4890
313, 66400, 1.4096
314, 66400, 1.5901
315, 66400, 1.6799
316, 67900, 1.5616
317, 67900, 1.4549
318, 67900, 1.5252
319, 67900, 1.4109
320, 67900, 1.6758
321, 67900, 1.3070
322, 67900, 1.5378
323, 69400, 1.5907
324, 69400, 1.4451
325, 69400, 1.5794
326, 69400, 1.3739
327, 69400, 1.4605
328, 69400, 1.7382
329, 69400, 1.7573
330, 70900, 1.8930
331, 70900, 1.6662
332, 70900, 1.5774
333, 70900, 1.6265
334, 70900, 1.5940
335, 70900, 1.7121
336, 70900, 1.4924
337, 72400, 1.8507
338, 72400, 1.7322
339, 72400, 1.9081
340, 72400, 1.7290
341, 72400, 1.6818
342, 72400, 1.9978
343, 72400, 1.5786
344, 73900, 1.7854
345, 73900, 1.5704
346, 73900, 1.4871
347, 73900, 1.4009
348, 73900, 1.6225
349, 73900, 1.7890
350, 73900, 1.7893
351, 75400, 1.9958
352, 75400, 1.7491
353, 75400, 1.5951
354, 75400, 1.7569
355, 75400, 1.6355
356, 75400, 1.7438
357, 75400, 1.7357
