msg_id,payload_size,response_time_ms
1, 400, 1.2392
2, 400, 1.3406
3, 400, 1.6273
4, 400, 1.7452
5, 400, 1.7499
6, 400, 43.7970
7, 400, 1.7526
8, 1900, 1.3854
9, 1900, 1.8185
10, 1900, 1.6185
11, 1900, 1.8967
12, 1900, 2.0300
13, 1900, 2.2595
14, 1900, 1.7373
15, 3400, 1.4975
16, 3400, 1.4553
17, 3400, 1.9280
18, 3400, 1.6479
19, 3400, 1.9918
20, 3400, 1.4687
21, 3400, 1.5784
22, 4900, 1.6368
23, 4900, 1.8316
24, 4900, 1.8832
25, 4900, 1.5185
26, 4900, 1.7864
27, 4900, 1.7871
28, 4900, 1.5373
29, 6400, 1.9065
30, 6400, 1.7135
31, 6400, 1.6781
32, 6400, 1.3984
33, 6400, 1.6745
34, 6400, 1.7582
35, 6400, 1.5599
36, 7900, 1.6390
37, 7900, 2.0852
38, 7900, 1.5773
39, 7900, 1.7389
40, 7900, 1.9971
41, 7900, 1.8061
42, 7900, 1.5920
43, 9400, 1.7191
44, 9400, 1.7682
45, 9400, 1.5750
46, 9400, 1.7817
47, 9400, 1.6140
48, 9400, 1.6444
49, 9400, 1.7674
50, 10900, 1.7527
51, 10900, 1.6069
52, 10900, 1.7282
53, 10900, 1.7607
54, 10900, 1.8004
55, 10900, 1.7894
56, 10900, 2.1181
57, 12400, 1.8678
58, 12400, 2.0065
59, 12400, 1.8784
60, 12400, 2.0998
61, 12400, 2.0435
62, 12400, 1.6249
63, 12400, 1.4993
64, 13900, 1.8088
65, 13900, 1.7250
66, 13900, 1.4185
67, 13900, 1.8365
68, 13900, 1.8580
69, 13900, 1.8256
70, 13900, 1.4856
71, 15400, 1.7599
72, 15400, 1.7799
73, 15400, 1.9142
74, 15400, 1.8065
75, 15400, 1.9873
76, 15400, 1.9923
77, 15400, 1.9989
78, 16900, 1.9939
79, 16900, 2.0506
80, 16900, 1.7439
81, 16900, 2.1024
82, 16900, 2.0970
83, 16900, 1.8142
84, 16900, 1.8701
85, 18400, 1.9389
86, 18400, 1.8277
87, 18400, 1.9847
88, 18400, 1.8365
89, 18400, 1.7368
90, 18400, 1.9017
91, 18400, 1.8242
92, 19900, 1.9714
93, 19900, 1.8503
94, 19900, 2.1388
95, 19900, 1.7803
96, 19900, 1.7999
97, 19900, 2.0481
98, 19900, 1.7167
99, 21400, 2.0160
100, 21400, 1.9470
101, 21400, 1.8159
102, 21400, 1.9685
103, 21400, 2.3155
104, 21400, 1.8544
105, 21400, 1.8464
106, 22900, 1.8853
107, 22900, 1.9750
108, 22900, 1.9380
109, 22900, 2.2345
110, 22900, 2.0393
111, 22900, 1.9904
112, 22900, 1.7827
113, 24400, 1.9213
114, 24400, 1.8954
115, 24400, 1.8098
116, 24400, 2.0943
117, 24400, 2.2078
118, 24400, 1.9150
119, 24400, 1.8236
120, 25900, 2.0721
121, 25900, 1.8672
122, 25900, 2.1333
123, 25900, 2.1529
124, 25900, 2.2458
125, 25900, 2.2672
126, 25900, 1.9450
127, 27400, 2.2838
128, 27400, 1.8495
129, 27400, 1.9789
130, 27400, 1.8646
131, 27400, 2.6416
132, 27400, 2.2483
133, 27400, 2.1357
134, 28900, 2.0033
