msg_id,payload_size,response_time_ms
1, 400, 1.1282
2, 400, 1.6378
3, 400, 1.5284
4, 400, 1.6558
5, 400, 1.6162
6, 400, 1.5983
7, 400, 1.6471
8, 1900, 1.5799
9, 1900, 1.6580
10, 1900, 1.8234
11, 1900, 1.8759
12, 1900, 1.8213
13, 1900, 2.1607
14, 1900, 1.9499
15, 3400, 1.8531
16, 3400, 1.7399
17, 3400, 1.6939
18, 3400, 1.6273
19, 3400, 1.5669
20, 3400, 1.3069
21, 3400, 1.7338
22, 4900, 1.6234
23, 4900, 1.7044
24, 4900, 1.5692
25, 4900, 1.7832
26, 4900, 1.8690
27, 4900, 1.5447
28, 4900, 1.7159
29, 6400, 1.6045
30, 6400, 1.9615
31, 6400, 1.6060
32, 6400, 1.6044
33, 6400, 1.7666
34, 6400, 1.6836
35, 6400, 1.7853
36, 7900, 1.5912
37, 7900, 1.7694
38, 7900, 1.6108
39, 7900, 1.7095
40, 7900, 1.5619
41, 7900, 1.4029
42, 7900, 1.2795
43, 9400, 1.4317
44, 9400, 1.7899
45, 9400, 1.5819
46, 9400, 1.9879
47, 9400, 2.1030
48, 9400, 2.2430
49, 9400, 1.8139
50, 10900, 1.9217
51, 10900, 1.8917
52, 10900, 1.7446
53, 10900, 1.8443
54, 10900, 1.8689
55, 10900, 1.7044
56, 10900, 1.8838
57, 12400, 1.7733
58, 12400, 1.6523
59, 12400, 1.5267
60, 12400, 1.4295
61, 12400, 1.4609
62, 12400, 1.6606
63, 12400, 1.6620
64, 13900, 1.9030
65, 13900, 1.7405
66, 13900, 1.7346
67, 13900, 1.8231
68, 13900, 1.7996
69, 13900, 2.0731
70, 13900, 1.9715
71, 15400, 1.8876
72, 15400, 1.8448
73, 15400, 2.0794
74, 15400, 1.6729
75, 15400, 1.6772
76, 15400, 2.1475
77, 15400, 2.1795
78, 16900, 2.1767
79, 16900, 2.2442
80, 16900, 2.0842
81, 16900, 1.8294
82, 16900, 2.0713
83, 16900, 1.6834
84, 16900, 1.9832
